 time            i(VIin)         v(Vout)        
 9.00446901e-08  8.05066024e-06  1.00909256e+00 
 9.01018089e-08  8.05371041e-06  1.00917447e+00 
 9.02160465e-08  8.05979673e-06  1.00934125e+00 
 9.04445217e-08  8.07191337e-06  1.00968843e+00 
 9.09014721e-08  8.09592219e-06  1.01043337e+00 
 9.18153728e-08  8.14303929e-06  1.01211024e+00 
 9.36431743e-08  8.23364982e-06  1.01609316e+00 
 9.50000000e-08  8.29776486e-06  1.01950600e+00 
 9.50500000e-08  8.30007602e-06  1.01976973e+00 
 9.51500000e-08  8.30468732e-06  1.02027179e+00 
 9.53292622e-08  8.31291686e-06  1.02121060e+00 
 9.54711739e-08  8.31939821e-06  1.02220791e+00 
 9.55000000e-08  8.32071112e-06  1.02246454e+00 
 9.55148861e-08  8.32138865e-06  1.02259297e+00 
 9.55446582e-08  8.32274271e-06  1.02285313e+00 
 9.56042024e-08  8.32544693e-06  1.02337375e+00 
 9.57232910e-08  8.33083971e-06  1.02439947e+00 
 9.59614680e-08  8.34156256e-06  1.02640092e+00 
 9.64378220e-08  8.36275710e-06  1.03021601e+00 
 9.73905301e-08  8.40413898e-06  1.03723977e+00 
 9.92959462e-08  8.48285332e-06  1.04959743e+00 
 9.95000000e-08  8.49096145e-06  1.05081304e+00 
 9.95500000e-08  8.49293870e-06  1.05106255e+00 
 9.96500000e-08  8.49688194e-06  1.05156556e+00 
 9.98216609e-08  8.50361598e-06  1.05251737e+00 
 9.99927016e-08  8.51028171e-06  1.05289950e+00 
 1.00000000e-07  8.51056516e-06  1.05289132e+00 
 1.00014597e-07  8.51113183e-06  1.05289240e+00 
 1.00043790e-07  8.51226420e-06  1.05289554e+00 
 1.00100530e-07  8.51446139e-06  1.05290361e+00 
 1.00214010e-07  8.51884125e-06  1.05292368e+00 
 1.00440970e-07  8.52754289e-06  1.05298125e+00 
 1.00894889e-07  8.54471360e-06  1.05316155e+00 
 1.01802727e-07  8.57812281e-06  1.05376235e+00 
 1.03618404e-07  8.64119738e-06  1.05577167e+00 
 1.05000000e-07  8.68583161e-06  1.05790673e+00 
 1.05050000e-07  8.68739226e-06  1.05816114e+00 
 1.05150000e-07  8.69050210e-06  1.05865793e+00 
 1.05329267e-07  8.69603870e-06  1.05954697e+00 
 1.05471161e-07  8.70038616e-06  1.06046721e+00 
 1.05500000e-07  8.70126596e-06  1.06071240e+00 
 1.05514884e-07  8.70171954e-06  1.06083556e+00 
 1.05544651e-07  8.70262567e-06  1.06108544e+00 
 1.05604186e-07  8.70443386e-06  1.06158563e+00 
 1.05723256e-07  8.70803394e-06  1.06256944e+00 
 1.05961395e-07  8.71516888e-06  1.06448311e+00 
 1.06437674e-07  8.72917770e-06  1.06810614e+00 
 1.07390232e-07  8.75614931e-06  1.07468325e+00 
 1.09295349e-07  8.80589518e-06  1.08592445e+00 
 1.09500000e-07  8.81090517e-06  1.08700746e+00 
 1.09550000e-07  8.81211934e-06  1.08721565e+00 
 1.09650000e-07  8.81453606e-06  1.08763651e+00 
 1.09821727e-07  8.81865006e-06  1.08844428e+00 
 1.09992938e-07  8.82270619e-06  1.08865104e+00 
 1.10000000e-07  8.82287251e-06  1.08863462e+00 
 1.10014123e-07  8.82320491e-06  1.08861755e+00 
 1.10042369e-07  8.82386878e-06  1.08858441e+00 
 1.10098394e-07  8.82518187e-06  1.08852090e+00 
 1.10210443e-07  8.82779345e-06  1.08839883e+00 
 1.10434541e-07  8.83295815e-06  1.08817611e+00 
 1.10882736e-07  8.84305356e-06  1.08781117e+00 
 1.11779128e-07  8.86230736e-06  1.08737804e+00 
 1.13571912e-07  8.89705854e-06  1.08751416e+00 
 1.15000000e-07  8.92114701e-06  1.08842774e+00 
 1.15050000e-07  8.92193255e-06  1.08866426e+00 
 1.15150000e-07  8.92349186e-06  1.08914104e+00 
 1.15329278e-07  8.92624814e-06  1.08997245e+00 
 1.15471171e-07  8.92839394e-06  1.09082724e+00 
 1.15500000e-07  8.92882605e-06  1.09106247e+00 
 1.15514883e-07  8.92904861e-06  1.09118038e+00 
 1.15544649e-07  8.92949271e-06  1.09142016e+00 
 1.15604181e-07  8.93037674e-06  1.09190034e+00 
 1.15723246e-07  8.93212811e-06  1.09284274e+00 
 1.15961375e-07  8.93556416e-06  1.09466906e+00 
 1.16437633e-07  8.94216932e-06  1.09809886e+00 
 1.17390150e-07  8.95431108e-06  1.10422315e+00 
 1.19295183e-07  8.97431455e-06  1.11433312e+00 
 1.19500000e-07  8.97612506e-06  1.11527925e+00 
 1.19550000e-07  8.97655701e-06  1.11544906e+00 
 1.19650000e-07  8.97740909e-06  1.11579382e+00 
 1.19821812e-07  8.97883628e-06  1.11646419e+00 
 1.19993252e-07  8.98021401e-06  1.11650490e+00 
 1.20000000e-07  8.98026728e-06  1.11648183e+00 
 1.20013495e-07  8.98037363e-06  1.11644996e+00 
 1.20040486e-07  8.98058545e-06  1.11638721e+00 
 1.20094467e-07  8.98100564e-06  1.11626406e+00 
 1.20202429e-07  8.98183226e-06  1.11602344e+00 
 1.20418353e-07  8.98343037e-06  1.11556622e+00 
 1.20850202e-07  8.98640606e-06  1.11474278e+00 
 1.21713900e-07  8.99147509e-06  1.11343273e+00 
 1.23441294e-07  8.99808176e-06  1.11196392e+00 
 1.25000000e-07  9.00000000e-06  1.11174900e+00 
 1.25050000e-07  8.99999803e-06  1.11196100e+00 
 1.25150000e-07  8.99998223e-06  1.11240307e+00 
 1.25329298e-07  8.99991438e-06  1.11316502e+00 
 1.25471210e-07  8.99982469e-06  1.11396753e+00 
 1.25500000e-07  8.99980261e-06  1.11419484e+00 
 1.25514885e-07  8.99979068e-06  1.11430770e+00 
 1.25544654e-07  8.99976578e-06  1.11453784e+00 
 1.25604192e-07  8.99971177e-06  1.11499892e+00 
 1.25723269e-07  8.99958697e-06  1.11590121e+00 
 1.25961423e-07  8.99927018e-06  1.11764119e+00 
 1.26437731e-07  8.99836795e-06  1.12087470e+00 
 1.27390347e-07  8.99548894e-06  1.12652816e+00 
 1.29295578e-07  8.98543443e-06  1.13545720e+00 
 1.29500000e-07  8.98401550e-06  1.13625855e+00 
 1.29550000e-07  8.98365841e-06  1.13639409e+00 
 1.29650000e-07  8.98293242e-06  1.13667093e+00 
 1.29821931e-07  8.98164735e-06  1.13721116e+00 
 1.29993623e-07  8.98031757e-06  1.13709591e+00 
 1.30000000e-07  8.98026728e-06  1.13706803e+00 
 1.30012755e-07  8.98016651e-06  1.13702535e+00 
 1.30038265e-07  8.97996420e-06  1.13694094e+00 
 1.30089285e-07  8.97955650e-06  1.13677455e+00 
 1.30191325e-07  8.97872879e-06  1.13644776e+00 
 1.30395405e-07  8.97702416e-06  1.13581942e+00 
 1.30803564e-07  8.97341805e-06  1.13465883e+00 
 1.31619884e-07  8.96541880e-06  1.13269565e+00 
 1.33252523e-07  8.94627531e-06  1.13001003e+00 
 1.35000000e-07  8.92114701e-06  1.12867678e+00 
 1.35050000e-07  8.92035756e-06  1.12886062e+00 
 1.35150000e-07  8.91876691e-06  1.12925630e+00 
 1.35329326e-07  8.91587524e-06  1.12993494e+00 
 1.35471277e-07  8.91355054e-06  1.13069299e+00 
 1.35500000e-07  8.91307631e-06  1.13091365e+00 
 1.35514888e-07  8.91282999e-06  1.13102144e+00 
 1.35544665e-07  8.91233630e-06  1.13124196e+00 
 1.35604219e-07  8.91134477e-06  1.13168384e+00 
 1.35723327e-07  8.90934505e-06  1.13254534e+00 
 1.35961542e-07  8.90527902e-06  1.13419586e+00 
 1.36437971e-07  8.89688071e-06  1.13722088e+00 
 1.37390831e-07  8.87902016e-06  1.14236250e+00 
 1.39296551e-07  8.83905264e-06  1.14999953e+00 
 1.39500000e-07  8.83445205e-06  1.15064188e+00 
 1.39550000e-07  8.83331156e-06  1.15074554e+00 
 1.39650000e-07  8.83101893e-06  1.15095916e+00 
 1.39822067e-07  8.82703774e-06  1.15136948e+00 
 1.39994034e-07  8.82301295e-06  1.15110294e+00 
 1.40000000e-07  8.82287251e-06  1.15107193e+00 
 1.40011931e-07  8.82259145e-06  1.15102210e+00 
 1.40035794e-07  8.82202867e-06  1.15092337e+00 
 1.40083520e-07  8.82090046e-06  1.15072834e+00 
 1.40178971e-07  8.81863344e-06  1.15034435e+00 
 1.40369873e-07  8.81405702e-06  1.14960177e+00 
 1.40751678e-07  8.80473478e-06  1.14821369e+00 
 1.41515287e-07  8.78541341e-06  1.14580117e+00 
 1.43042505e-07  8.74406944e-06  1.14225116e+00 
 1.45000000e-07  8.68583161e-06  1.13977632e+00 
 1.45050000e-07  8.68426713e-06  1.13993023e+00 
 1.45150000e-07  8.68112671e-06  1.14027007e+00 
 1.45329360e-07  8.67545576e-06  1.14084800e+00 
 1.45471364e-07  8.67093103e-06  1.14155616e+00 
 1.45500000e-07  8.67001488e-06  1.14176835e+00 
 1.45514894e-07  8.66953787e-06  1.14186970e+00 
 1.45544682e-07  8.66858284e-06  1.14207773e+00 
 1.45604258e-07  8.66666873e-06  1.14249465e+00 
 1.45723409e-07  8.66282423e-06  1.14330390e+00 
 1.45961712e-07  8.65507027e-06  1.14484221e+00 
 1.46438319e-07  8.63930266e-06  1.14761375e+00 
 1.47391532e-07  8.60673073e-06  1.15215418e+00 
 1.49297958e-07  8.53745657e-06  1.15832319e+00 
 1.49500000e-07  8.52979342e-06  1.15878869e+00 
 1.49550000e-07  8.52788751e-06  1.15885912e+00 
 1.49650000e-07  8.52406441e-06  1.15900644e+00 
 1.49822210e-07  8.51744540e-06  1.15927774e+00 
 1.49994474e-07  8.51077973e-06  1.15886193e+00 
 1.50000000e-07  8.51056516e-06  1.15882927e+00 
 1.50011052e-07  8.51013590e-06  1.15877551e+00 
 1.50033156e-07  8.50927681e-06  1.15866887e+00 
 1.50077364e-07  8.50755644e-06  1.15845802e+00 
 1.50165781e-07  8.50410690e-06  1.15804215e+00 
 1.50342613e-07  8.49717263e-06  1.15723475e+00 
 1.50696278e-07  8.48316343e-06  1.15571314e+00 
 1.51403608e-07  8.45458339e-06  1.15302069e+00 
 1.52818269e-07  8.39518471e-06  1.14887731e+00 
 1.55000000e-07  8.29776486e-06  1.14516767e+00 
 1.55050000e-07  8.29545003e-06  1.14529038e+00 
 1.55150000e-07  8.29080936e-06  1.14556565e+00 
 1.55329396e-07  8.28244742e-06  1.14602191e+00 
 1.55471456e-07  8.27579229e-06  1.14666077e+00 
 1.55500000e-07  8.27445153e-06  1.14685925e+00 
 1.55514900e-07  8.27375117e-06  1.14695116e+00 
 1.55544700e-07  8.27234948e-06  1.14714060e+00 
 1.55604300e-07  8.26954219e-06  1.14752040e+00 
 1.55723500e-07  8.26391202e-06  1.14825394e+00 
 1.55961900e-07  8.25258933e-06  1.14963593e+00 
 1.56438699e-07  8.22969492e-06  1.15207567e+00 
 1.57392299e-07  8.18291291e-06  1.15588718e+00 
 1.59299497e-07  8.08539988e-06  1.16040513e+00 
 1.59500000e-07  8.07484425e-06  1.16068124e+00 
 1.59550000e-07  8.07220298e-06  1.16071463e+00 
 1.59650000e-07  8.06690970e-06  1.16078758e+00 
 1.59822348e-07  8.05775325e-06  1.16090969e+00 
 1.59994873e-07  8.04854480e-06  1.16035494e+00 
 1.60000000e-07  8.04827052e-06  1.16032181e+00 
 1.60010253e-07  8.04772185e-06  1.16026665e+00 
 1.60030760e-07  8.04662406e-06  1.16015720e+00 
 1.60071772e-07  8.04442666e-06  1.15994066e+00 
 1.60153798e-07  8.04002466e-06  1.15951294e+00 
